Comment,label
這價格說真的沒優勢，得看拍照或其他附加價值在哪,1
照HTC習性我以為是開價1w5，開賣第二天時價1w2,2
嫌索尼4G太少的可以準備下手惹,2
HTㄈ的慣例大概又是賣比預期還高的定價吧  科科,2
6g 好高級哦,2
ㄏㄏ,2
除了HTC鐵粉會買 市場乏人問津,1
我會想要買這台欸，HTC超好用的,0
如果搭電信補貼便宜賣說不定會賣得不錯?,2
我猜11990$,2
索尼：嗶嗶，有人學我,2
665 霸氣回歸,2
這訂價去買5z都比較賺,1
團隊跟廠房賣掉之後出的機子應該都貼牌機吧？,1
665...,1
電信商0元機應該會好賣?,2
S665+6G 賣1萬上下...,2
回歸千點就靠這支了,2
所以說我的U12什麼時候升Android 10,1
何必呢 找個新事業來做吧,1
還在665,1
笑死,1
已經是手機界納智捷了,1
為啥都不出高階旗艦機呢？,2
中國機版價格沒有五千以下不要po,2
一萬以下吧,2
出中階機幹嘛阿...不會把Pixel換皮出一出就好...,2
為啥不用天璣 +1,2
中階機可以打贏誰？,2
tc在清庫存的665阿，如果今年又買一堆天璣，明年此,2
時倉庫又一堆沒出去的天璣...,2
台灣路上已經連一台HTC都看不到了,1
所以我說，我的U12+ Android 10呢,1
我都快忘記這個牌子了,1
最多接受8000當長輩機，以上的話只能填海,1
6GB...,2
HTC非旗艦都是廢物,1
維修也是問題,2
8000買665，原來樓上還是有盤子^•^ 世界真奇妙,1
某s是真的鐵粉拉 搜尋他的推文就知道不是反串,2
現在htc只能出貼牌機，規格都要看ODM廠能給什麼方案,1
tc目前的問題在於維修這塊太雷 誰還敢買,1
先猜10999,2
等這麼久結果給我出這個  lol,2
欸你快出 我要換手機==,2
前提拍照好一點 拜託,2
謝主榮恩,2
s655還想賣一萬喔? 下去吧,1
tc有辦法用665換到865嗎 還是最後只有765g,2
現在買HTC當長輩機根本大不孝…Sense多少沒改款了,1
，要原生不是原生，要魔改絕無魔改，優勢在哪？,2
孤兒電子垃圾機,1
對岸電商12k買865，htc12k賣你665,2
2020 6gb 熟悉的TC最對味,1
電子XX,1
比哀鳳還貴。,1
s655....,1
比哀鳳還貴。,1
電子,2
乾脆不如一不做二不休直接開價賣6萬台幣不就好了。,2
上次學姊出去玩 結果學姊拿的竟然是u12,2
6000極限,2
先猜13999然後劃掉改11999,2
電子垃圾,1
10II都敢開11k了 TC給6G RAM肯定開破13k,2
要看電量給多少吧，太少就謝謝再聯絡,2
準備被壓在地上摩擦!一堆都S712以上搭8G/128了，htc,1
這規格賣萬元以上？,2
中階空機早就xt，n8p，綁方案都oppo，三星了...,2
pass,2
低賽 哈哈哈哈哈哈,2
5Z屌打,2
居然還有665可以賣 我也是佩服,2
這台有夠醜…而且價格破萬的話 還不如買U12+,1
應該除了系統是Android 9之外 其他都大贏,0
低賽兒別來了吧,2
U12學姊求介紹(？,2
爛到笑 沒救,1
665...,1
現在覺得ASUS不出新的中低階新機是對的 寧願讓5Z接,2
保固紙糊的，判你受潮，TC潮起來,1
現在安卓底標都8g了還在6gZz,1
推,2
？它在幹嘛？,2
14900,2
這間還在哦,2
話說tc的Android 10是生出來了沒？,2
一手好牌打到賠光市占...,1
除非便宜啦 不然就洗洗睡 優勢盡失 買它幹嘛,1
s66x系列5G版,2
若未來手機廠只剩兩家，宏達電一定是其中一家,2
比Sony還others,2
回二樓，沒有,2
趕在七月出也好，八月出會被note20壓著打，九月出,2
會被iphone12輾過去w,2
說不定是用7系列的旗艦手機 賣3萬,2
信譽破產的公司，在相信承諾就是白痴,1
好好搞VR,2
想到他之前的售後服務還是算了,1
用聯發科試看看,2
426品牌垃圾機,1
Who cares?,1
9樓 人家Note20 iPhone12 已經沒把HTC放在眼裡了，,2
管他幾月出,2
貼牌有什麼難的,2
這是哪家新公司？,2
重返榮耀,2
我們沒有共識，pass!,2
猜是用S700系列的晶片,2
VR比較有搞頭吧,2
沒s865希望用天璣,2
我猜是天G,2
目前高通非旗艦SoC有支援5G頻段的只有S765和S765G,2
吧？,2
什麼時候出跟三星蘋果比都是輾過去吧,2
不可能是mtk啦，tc根本沒工程師了,2
只能拿高通的方案套一套而已,2
"華碩,tc接連出新機…有得拼囉",2
誰會是台廠手機品牌的老大呢？,2
用mtk的晶片我看連開機都有問題,2
用高通可能還能看 tc用發哥就算了吧,2
tc用發哥沒有能看的機子,2
唯一沒有ar code 的廠牌,2
台廠手機的老大現在就華碩阿 誰去年連旗艦機都推不,2
出來的 很好分辨吧,2
XDD,2
還有人會買喔？,1
看ODM有啥方案呀，如果ODM有天璣方案，那htc也能用,2
用天璣1000我就買,2
一定又是Desire,2
信仰無價,2
手機用天磯 股票升1000 樓下快all in,2
tc手機不是pixel嗎？,2
翻譯:拼裝車手機版,2
難，成本考量之下難有好貨,1
htc跟我納 都要起飛了嗎？,2
用天璣1000要歐印HTC還是聯發科?,2
價錢才是一切的重點,2
明年7月出都還嫌太早,2
假大陸雞比真的大陸機更令人做嘔…,1
2020年出這種下巴機，懶得噓了,1
美國消息是二月說可能下半年，然後現在安安靜靜。,2
台灣7月以後沒支援5g的手機只能算中古貨,2
"安卓陣營扣掉中國牌 , 也沒幾家了",2
三星的指紋辨識真的是唯一缺點。,2
htc的指紋辨識真的滿快的,0
S20我是常用的指頭各綁兩組設定配原廠貼 支付秒解鎖,0
推，從U11跳到S20+，體驗很棒,2
你的5G側視圖上面寫著4G+,2
我也好想跳 不知道會不會還會降價,2
我從hTC跳到ASUS還是很想跳回來..,2
天哪你的文筆也太好，整篇文章流暢好讀，超有質感的啦,2
推機友,2
推心得,2
我以為你會說電源鍵和音量鍵升級有感,2
前指紋解鎖真的有待改進,1
不等下半年HTC的865新機,2
扣掉中國品牌跟sony子龍 其實真的就剩蘋果三星了,2
現在U11，我也快要跳三星了……,2
指紋辨識真的是明顯下降體驗，不過其他都是提升，我大概,2
1個月才完全習慣，現在只要用心按就能一次成功,2
u11+跳s20+，真的只差指紋了，其他很滿意,2
U11指紋跟Edge sense 真的好用 三年前的U11指紋解鎖還,0
比我的Note10+快,2
今天換s20只能說這手感真的讚,0
"HTC10跳到N10L,指紋真的是巨大差距",2
電容式指紋辨識本來就比螢幕下指紋快又準確，加上三星,0
的螢幕下指紋比中國廠還差，這結果不意外,2
我也是u12跳s20+，體驗都有提升，尤其流暢度(120Hz)、,2
續航、拍照我都還蠻滿意的!,0
指紋辨識記錄的時候記得各個角度都壓到 不要同一角,2
度壓到底 然後去搜尋指紋辨識加快 我把動畫關了之,2
後明顯提升不少 覺得已經及格了,2
用過10、U12+ 指紋辨識的速度超棒,0
推，現在還在用U12+推文的路過…XD,0
支付秒解，但是平常解鎖成功率有差，很奇怪,2
建議貼上保護貼後重新設定指紋辨識 應該比較容易成功,2
還有pixel,2
巴哈姆特有看到你的文章XD,2
建議增加臉部解鎖，我剛換S20U，指紋跟S9比真的鳥，,2
但是加臉部有時候還沒舉起手機就解開了XDD,2
你閉上眼睛時應該是解不開的,2
我的Note10+跟S20+螢幕指紋速度都比中國廠商還快說..,2
推推 我也是在看這隻跟i12 但又不太想等 好猶豫啊,2
指紋辨識缺點+1,1
p40遇到非三星應該都會心靈減速…,2
我還是續等pixel5。話說HTC按壓兩側快捷功能真的很方,0
便,2
要求的跟你差不多 u11還在撐 手越來越癢看到這篇開始心動,2
了,2
one hand截圖超好用,0
HTC不爭氣，主要也市場做不過大陸低價，目前個人就3星,2
"，Google,apple在選",2
我也是用u12+，指紋辨識跟人臉辨識確實快，另外最讓我滿,0
意的還是TYPE-C的耳機音質，真的好，但是我也打算要換三,0
星了。,2
HTC還可以造成新聞也是滿正面的，如果靠印度可以重新,2
做起來也是好事一件啊，地球上有機會跟共產黨拼成本機,2
的我看就阿三了,2
垃圾分類還是垃圾阿，又不會變黃金,1
野火的ultra還是野火,1
HTC終於打算做點有特色的東西了嗎？,2
4樓牙膏沒了？,2
也來個one系列復客吧!買爆,0
這型號命名看來是會有點不一樣的感覺,2
野火超大杯,2
要復刻幹嘛不復刻M8，想買這個外型,2
繼感動三兄弟後，又要來個野火三姊妹嗎？,2
祖傳660還是820嗎,2
野火吹不盡,2
u起來！,2
鄉民認為台灣應該只要蘋果三星索尼這三廠就夠了,2
發誓系列Ultra,2
乞丐中的霸主是什麼,1
TC加油啦 希望親兒子別被異父的兄弟打死,2
"命名先統一下吧,,",2
就貼牌機 怎麼會有人覺得可以做起來,1
還沒倒喔？,1
還在喔？,1
u20至尊版！？,2
野火ultra XXXDDD,2
想到鄉民亂推的U ultra 整個怕豹,1
UU重出江湖,1
紫光牌別鬧了,1
野火Ultra,2
社惹！快讓我解套啊！！,2
野火UU,1
一生一定要體驗一次UU,1
野火再怎麼Ultra一樣還是野火,1
又ultra，爛到有剩,1
推文通通給我U起來！！！,2
.....,2
我UU還在用 怎麼了嗎？,2
ultra都爛貨欸,1
野火ultra...可以不要嗎？,1
野火就是低階，就算ultra記憶體應該也是3、4gb等級,1
四天王ultra XDDD,2
Ultra應該是旗艦的代名詞吧？,2
野火系列不都是XX嗎？,1
大家跟風s20 ultra命名? U Ultra及曾經有ultra名稱的手,2
機表示:,2
好啦 其實以前ultra都是大螢幕在命名的,2
但幾乎都是中低階的機種,2
中國品牌出的電子垃圾,1
Z Ultra表示：,2
怎樣都能捧三星，不愧是最值得原諒的品牌,2
Ultra聽起來就很厲害,2
在國外，HTC還是挺香的喔,0
還是印度人識貨,2
野火燒不盡，春風吹又生,2
超大杯？,2
u ultra表示...,2
還是出新機賺錢比較重要，後勤更新什麼的都是浮雲,1
Ultra拉基,1
電子垃圾 ultra,1
推,2
指出電子垃圾是要怎麼支持?,1
板上首開 推,2
有買有推,2
愛國 推,2
終於看到啦~推,2
使用者模式不是都拿掉了 hTC竟然還留著,2
真國產手機 推,2
雖遲但到,2
下巴有夠厚,1
沒有醋寶了吧,2
請問背蓋是塑膠沒錯吧？板上還有人一直覺得是金屬,2
勇者推,2
你應該是鐵粉吧…,2
好奇這台拍照跟u11有沒有辦法打,2
現在只能推台灣製了,2
等等，塑膠機？,1
借來開箱 Sent from BePTT on my Google Pixel 3,2
看01不只一個網友說背蓋是塑膠了，原廠規格也沒提,1
高階售價、中階SOC、低階塑膠機身和相機,1
相機比u11爛對吧 可惜那個模組沒有繼續發展,1
真鐵粉，雪紅感謝你,2
推,2
招牌下巴,2
真 愛國者,2
紅姨愛你,2
傻眼，無話可說,2
U20主攝到底是OV48B還是三星GM1呢？,2
好啦 有Made in Taiwan還不錯,0
借問鍵盤內建是觸寶嗎,2
給尊重,2
勇者,2
我套房能不能離開就靠你支持了 感謝！,2
手勢看起來依然不爽加,1
相機有威威的嗎@@？,2
覺得5G手機會用金屬背蓋的是不是有什麼誤解  還是,2
真的有XD,2
台灣製!!,0
全世界唯一台灣製的手機，想想蠻悲哀的。,2
愛國給推,2
真的啊，到昨天還是認為是金屬，還質疑金屬機身怎,2
麼會質感差，所以我才想再確認一次是金屬還是塑膠,2
推！！！,2
你的手機都好有特色,2
首推，值得讚一下,2
雪紅感謝你,2
感謝回覆,2
真勇者，我早已經脫離TC了,2
哈哈,2
感謝分享,2
板上首開 推,2
辛苦鋼鐵粉絲了,2
信仰無價,2
我還真的沒想到會有人買U20...XD,2
有勇氣給推XD,2
P3系列是工業設計醜陋到極致的代表....,1
鐵粉淚推 相機廢到笑...,1
謝謝你喜歡台灣製 謝謝你喜歡踢西 嘻嘻,2
想早點退休嗎???問紅姨有問有機會!!!,2
又厚又重,1
respect,2
推腿,2
U20背蓋跟邊框都塑膠,1
真 鐵粉 我下一支已經完全不考慮htc了…,2
你真有愛,2
曾經的TC鐵粉現已跳船,1
誰知 是OEM或ODM  外觀是故意的嗎,2
唉，這隻cpu跟u11沒差很多，重點是相機砍掉ois又拿,2
掉ip防水，我就沒辦法接受了,2
這隻唯一優點是是台製跟5g頻段給好給滿，其他...唉,1
都快忘了Pixel 3 XL那鬼畜一般的額頭,2
htc都做的到沒有眉毛 為什麼蘋果還是一堆眉毛機,2
u11 u12我覺得都還不錯 至少相機都很猛 apple都比不,0
上 但是 這隻實在有點鳥...,1
不如買Pixel 4 XL，至少是旗艦，而且有台灣血統,0
這個下巴…快2021了耶,1
U11大概是我最後一支TC手機了，已經買了跳水的G8X撐,2
過5G時代初期,2
還是希望TC有下一支旗艦啦，最後的台製手機,0
推勇者,2
安卓就是垃圾,1
沒想到這種貼牌的電子垃圾還有人買，笑死,1
樓上真的有笑嗎？ 笑死,2
好多人沒仔細看 他都說是借來開箱的,2
又不是他自掏腰包買的XD,2
觸寶去年違反谷歌規定被下架 宏達才轉用谷歌鍵盤,2
推 其實考0起來蠻美的,2
*看起來,2
推,2
ultrapixel跟boomsound真的讚，可惜這隻沒有,2
呃，借來開箱，就是有人買啊，不然跟原廠借？,2
還是別人掏腰包買就≠有人買?,2
整體來說還算順暢   (今天剛入手還在熟悉中),0
中華電信續約他會給七天試用的SIM卡,2
推,2
老實說第一次看到4之都很醜的手機,1
聽說第一批賣光了 銷量還好吧,2
我去拿的時候神腦只有配到一隻，至於是不是賣光這我,2
就不知道了。,2
幫推,2
猜測這應該是屬於技巧性的台灣製，大陸設計，台灣,2
組裝，台灣品牌,2
換顆CPU我再考慮,1
相機真的不行,1
討論這個幹嘛 難道你會去討論okwap嗎,2
店面都在等租約到而已吧 根本就沒用了,2
時代眼淚,2
這個已經沒用了.png,2
新機好用愛嗎,2
多一個愛,2
買htc幹嘛不買pixel,2
高雄老早就收了,2
國內僅剩四家專賣店,2
台南北有市場嗎,2
台中的改專櫃了,2
在那呢,2
歸類Others,2
還是比小米真我歐果好吧,2
沒東西要demo什麼？,2
樓上小米都沒手機了不就要關店,2
Google開店我還比較有興趣,2
喔是喔,2
那角店有毒 之前開的都沒多久就收了,2
小米要不要上手機 小米9想換掉了,2
台灣小米變家電廠了吧，65吋電視過NCC準備要上了,2
12樓對htc數一數二的熟啊XD,2
小米在台變家電和3C周邊商了啊,2
生吐司一條250賺更大,2
23樓是htc粉嗎？,2
可憐要不要進共匪手機自己貼牌就好,1
軟體有更新嗎,2
2017年還以為要重返榮耀，2018後迅速沒落,2
可憐哪,1
當初手機品牌整個賣給Google還比較好,2
樓上以為google撿回收嗎？,2
20pro還不錯吧 華碩的m2也打不過,2
垃圾品牌有討論價值？,1
真的是垃圾，連土匪都不要,1
htc法務開吉,2
應該靠法務衝業績www,2
告什麼，嘲笑？侵權？,2
H粉繼續狂推薦 害人不淺,1
Desire20pro至少沒有背離行情太遠,0
新莊的也關門，已經棄TC了,2
這轉角開啥倒啥,2
HTC吉低端酸民可以發大財,2
台北三創的上次路過 連服務人員在那都不知道,2
D20Pro 買來用幾天，除了配件少了些選擇，整體還可,0
以,2
我一直以為是總公司關了,2
哪有換不掉，自己心魔而已,2
Pixel4 真的失敗作品 電池太小 旗艦只有雙鏡,1
P4雙鏡可是屌打一堆三鏡手機喔！,0
沒錢換在哪裡假掰三小,2
所以樓上邏輯是手機用超過三年就是沒錢哦,2
超過3年還戰的是耐操,0
安卓超過三年真的沒一個能打的,1
低規高買的盤子才會收,1
不是換不掉，只是不甘心罷了,2
U11+屌打啦,0
我的XZ1也換不掉啊，耳機孔+LCD+正面雙喇叭又輕薄,0
還好我當初沒換這支 是換xzp,2
U11+繼續服役中,0
還在U11+1，好手機！,0
U11+順順用,0
暗中錄音吧,2
u11奮戰中,0
ㄎㄎ xz1再戰三年,0
pixel的鏡頭配置沒辦法屌打三鏡吧，要是超廣加標準,2
就可以了，偏偏是長焦,2
u11準備再戰4年,0
跳槽到三星就什麼都有，可惜Note 20系列的外觀…,2
現在是可以觀望Sony XPERIA 5 II啦,2
繼續自慰,1
理由伯XDD 不就U12+尿黃不均螢幕 續航爛……U11不,1
想升級,2
pixel4除了拍照，其它都是讓人不想買的因素，尤其,1
是電量，沒有超廣角也挺傷的,1
不然 安迪有買U12+嗎？ 呵呵,2
U11年初換過電池奮戰中，本來想趁哀鳳12出換便宜11,2
的...,2
m8才是經典吧,0
聽音樂很爽,0
U11+掛了 拿舊M8撐著等pixel5中QQ,2
u11+ 真的好用,0
"拿u11,m8還原還是會頓",1
U11+最高！！,0
再戰3年,0
Pixel 4有擠壓…但是雞肋的雷達晶片還有會懷孕的電,2
池都是問題，我用智慧手機這麼多年…Pixel 4 xl還是,2
第一支我用不到一年就返修的手機,2
等2022年5G差不多普及後才讓U11退休 目前也沒跑不順,2
的手遊就是，反正有問題就外廠電池換一換就是。,2
U11奮戰中,0
為何手機要常常換機啊？,2
家裡冰箱、電視、筆電、桌機……都不用每年換機。,2
"U11+堅持中,這次的ZF7貴了點,出個765G或天璣820版吧",0
可是你的簽名檔是pixel 4耶,2
"u11+剛進抽屜換x3,續航有感..如u11+換裝855+就怒買",2
一隻繼續戰三年,2
ZF7那個手感 手上拿磚頭 秒消火,1
U11仍好用+1,0
u11好用，但對htc已經死心，準備跳iphone12了,2
u11推,0
tc最大的優點就是旗艦跳水很好入手 現在連旗艦都看,2
不到…,2
U11+續用中，連電池都還沒換，新手機沒壓感真的不,0
方便,2
原來htㄈ有粉？,1
U11繼續努力中,0
續用+1 其實是還能用沒想到要換,0
"我也還在用U11,換了電池續戰，只能看安卓能否再有好",0
手機,2
U11續用+1,0
感謝U11 讓我決定跳槽iphone (?,1
U11使用中,0
U11服役中，上支M8也用超久,0
U11+ 服役中，除了螢幕之前摔倒，偶爾觸控不良，其,0
他還沒什麼問題,2
還在用M8的表示,0
葉佩雯你信？,1
2020還葉佩U11你信?,2
"TC只有M8,可以選擇",2
連堆料機都推不出來 可憐哪,1
故障,2
P4就美國團隊做的，還在tc,2
u11+使用中,0
u11還真的是沒下神壇,0
U11還正常使用中...,0
pixel 4是美國團隊主導的,2
a系列才是原tc團隊,2
U20 18000還可以 但這種業配文就真的不必了,1
小米mix2從2017年10月用到現在了也還是超順,0
U11繼續使用中,0
為啥還要寫U12前的最後一台旗艦？ 這不只TC粉是U1,2
1粉吧,2
電池是撐不過了 已找修理商換過 滿意續戰中,2
沒人說要直上最新旗艦阿，S10+ 或N10+,2
U11要跟win7走一樣的命運嗎 再戰10年,0
m8現在還用的下去我佩服,1
怎麼沒M10,2
U U表示,2
好屌 記者竟然知道LCD這個詞,2
X9用四年終於要退休了,2
S835現在日常使用還是順啊,0
而整體功耗放到現在還是不錯,0
"加上又用UFS 2.1,也沒偷什麼規格",0
電池也蠻好找到店家可以換,2
或許是這樣才造就U11神機說,2
U11 第四年路過,0
U11讚讚,0
U12+繼續撐,0
U11換不掉 呵呵 高興就好~~~,0
全台用u11的人都集中在ptt手機版了,2
我年初換電池再戰+1,2
U11正在用+1，要找到可以接續edge sense功能的真的,0
好難...,2
"夠可憐的,三星就沒有人在懷念S8,SONY也沒有再講XZ2",2
白色U11就是屌！,0
U11使用中,0
u11使用中 那個按壓用過就回不去了…,0
u11還在使用中+1,0
考古學家 4ni,2
喔喔是喔,2
怪 我家UU還沒壞,2
htc好像去樓上了,2
上次去看搬到2樓中間的小攤位，看起來有點淒涼,2
你又選錯了,2
"紅米之前用過,反正沒用過vivo就用看看。",2
用了一天，2ca、NFC都正常，才4800元，不錯了。,2
vivo 好用的其實都沒進來,2
"vivo中國市占好像比小米還高,只輸oppo",2
"htc在二樓,旁邊是個少見的筆電品牌,似乎共用那一區",2
給v牌差評,1
我是覺得OPPO比VIVO品質好些,2
台中公益路htc也收掉了,2
很意外嗎？早就一堆掛hTC換掛其他品牌了,2
疑，我以為HTC是對岸的牌子，原來不是喔？,2
什麼鳥牌,2
對 上週經過公益路 發現也全撤掉收乾淨等人租了,2
剛去看了下官網  專賣店只剩八德和台南...,2
V牌就是噓,1
v確實比h好啦......,2
HTC畢竟是國際大廠，在台灣拿HTC其實還是比較有面子,0
Vivo>>>>>>>>>>>>>htc,2
htc國際大廠 嘻嘻,1
這反串其實很沒意思,2
htc不是中國人的品牌嗎？,1
反正都中國牌，vivo比htc用心對台灣,2
hTC存在感逐漸消失...,1
如圖所示。,2
最近出的豬屎20pro 還算有吸引力,0
買中國機都好過買htc,1
UU三年半頭好壯壯,0
中國機都買得下去惹~  還有什麼不能買？　廠廠~,2
UU兩年了 使用中 背蓋玻璃裸機摔裂仍正常,0
VIVO照相似乎挺威的,0
是搬到二樓位置去了,2
v牌真的很少看人用..,1
HTC也是中國品牌不是嗎,1
HTC有在臺中公益路和華美街口開間新的大型專賣店。,2
我昨天才去 一樓那個地方還是關門的沒開櫃啊 而且,2
我去二樓也沒看到HTC 關光光了還是太小我沒看見,2
Y19好像是我的推文XDDDDD,2
公益路華美街口HTC專賣店收掉了 端午節的事情,2
公益路收掉只是因為房東不租了,2
6月有去送修 櫃台告知的,2
要搬去別的地方而已,2
UU變磚路過,1
我u u用三年多想跳去sony 1 ii,2
@kisslove 沒錯，感恩喔，讓我知道還有這個牌子.,2
我家的UU還頭好壯壯,0
"樓上的,我UU本來也是好好的,輕量使用,突然變磚.",1
拿tc有面子，你眼睛長了什麼鬼東西,1
中國品牌最棒惹呀,2
他們U20廣告都拿台灣街景，想吃回頭草 呵呵,1
vivo國內 oppo海外 台灣四不管地帶,2
認為拿htc有面子的是反串嗎,2
HTC不意外，直接拿VIVO的手機來比規格、性能、性價,2
比等都屌打,2
人家Vivo市佔已不知道遠勝htc幾條街去了 科,2
使用心得如何呢？,2
UU磚後換Vivo便宜好用,2
至少也用G70吧！現在還用P22是怎樣,2
護板神機,0
這可是傳說中的稱號 當然要符合傳說中的地位,0
https://NMSL.tw/bcc4d6 看起來P22比P60好?,2
所以開多少?,2
中國人的品牌,1
野火燒不盡，想起被野火支配的恐懼了嗎,1
重返農藥！,2
一樓你知道這樣才能配得起野火的稱號嗎,2
用個G90T才有小鋼炮的感覺,2
四 大 天 王,2
電子拉基,1
中國品牌不推,1
野火燒不盡，莎莎催又生，探索機海戰，恰恰四天王,1
不是應該用天璣600？,2
電子垃圾嘔嘔嘔,1
發哥要靠HT分飛高高了,2
真。電子垃圾,1
p22讚啦,0
專出電子辣雞,1
電子xx,1
印度人也不想買電子拉基啊,1
小尺寸神器？小尺寸拉基才對,1
終於要送tc下去囉,1
這支是坑人的經典神器吧,1
有天機不用…,1
野火系列當然要保持電子垃圾的優良傳統,1
麥鬧阿,1
12nm...復刻嗎,2
現在發哥基本款至少要G70了吧,2
野火系列=電子垃圾保證,1
燒死自己的一陣野火,1
就只是品牌授權而已，用甚麼料都是另外那間公司決定,2
的好嗎！,2
好香,0
重現電子__?,1
品牌都授權了還可以冠HTC嗎,2
是多愛出電子垃圾,1
又是P22,2
這算垃圾了吧...,1
已經沒有招牌可以砸了,1
就...垃圾...,1
7999？,2
零元手機?,2
當年的野火機真的完全把iphone壓著打,2
2G/16G才配得起野火的稱號,2
還有人記得我寫的五言絕句喔XDD,2
可憐哪 還在玩十年前的東西,1
這跟desire 19s有什麼差別？,2
野火燒不盡,1
這應該就是所謂的貼牌了吧？,1
MTKsucks,2
是有多少庫存,2
XDDDDS還來，前陣子不是才出2支,2
經典電子XX,1
重返農藥！！！！！,2
想要鑽石機復刻,2
騙人綁約機,1
真野火燒不盡XDD,1
野火竟然燒到2020 這個可厲害(笑死,1
小尺寸神器？自從用野火再也不敢買HTC 跟同期sony被,1
屌打，買之後每天都在後悔,1
hㄒㄈ到底有多少老庫存,1
聯發科Helio G系列這麼稱職不用……,2
電子,1
野火燒不盡,1
目標客戶看起來是印度?授權名字給印度商生產?應該,2
不會在台灣出吧?,2
真的是菜花機 燒也燒不完,1
笑死 爛到不想噓 連三創都沒展飾店,1
智能,2
hero legend tattoo 這幾隻也來復刻一下吧,2
p22哈哈哈哈哈哈哈哈,2
三創二樓有，是要說幾次,2
一_一,2
野火燒 光了,1
果然沒辜負野火機留給大家的印象XD,1
感覺HTC打的牌都不太好…,1
我的媽呀 看到奇蹟,2
價格出來會更經典 經典笑話,1
要死不活 何不如?,2
經典m8 m7不拿來用，我跟你說啦m8外觀，原生系統，,2
"電池弄個4000，u上個84,85,86隨便，螢幕下指紋弄一",2
下，雙喇叭，價錢跟著中國那些大廠走，馬上一尾活龍,2
好嗎？,2
這幾年證明 這品牌沒落，一些台灣家庭照樣活得好好,2
的，沒有這品牌養活一堆台灣家庭這回事，麻煩這牌子,2
不要回頭拿台灣風景當廣告，u20看到快吐了,1
野火燒不盡 春風吹又生,1
找台灣本土樂團911春風代言應該不錯,2
反正五月天都代言那麼久了 換換新口味,2
一堆人因為這機子轉到iOS陣營  Andriod殺手無誤,2
為什麼沒有鑽石?,2
真電子xx無誤，真的是笑死，果然保留傳統，，,1
也是啦，後來看到是印度廠商，應該當地自產自銷，可,2
能就兩千元手機那種等級,2
野火(物理),1
這什麼拉幾規格,1
這隻應該是兩萬起跳,2
舔中舔到吃屎真是報應,1
反正你們也不會買嘴那麼多,2
當然是要電子垃圾才叫完美復刻阿 一樓不懂野火,1
庫存晶片太多,1
大概是符合印度市場的需求?....要是價格可以的話..,2
野火授權給印度廠商去年不就有了，回文跟去年差不,2
多，證明不管過了多久這裡的人腦袋都沒在進步,2
最後一段不就有寫 這鍋tc不用揹吧,2
從沒讓人失望失望,2
終於要燒成骨灰,1
他國事務,2
m8外型，我可能還會上鉤呢……,1
不過會希望下面那條海苔拿掉,2
效能不夠爛不能叫野火,1
到底有多少庫存啦,1
毀滅再現？,1
買來膜拜用，所以什麼零件不重要,2
電子垃圾也能復刻 哇,1
下面海苔可以改成三鍵，完美,2
電子垃圾,1
保持野火的優質傳統,1
